iteration,mfu
5,8.06
6,8.06
7,8.06
8,8.05
9,8.05
10,8.04
11,8.03
12,8.02
13,8.0
14,7.99
15,7.97
16,7.95
17,7.94
18,7.93
19,7.92
20,7.92
21,7.91
22,7.9
23,7.89
24,7.88
25,7.87
26,7.86
27,7.85
28,7.84
29,7.82
30,7.81
31,7.79
32,7.77
33,7.74
34,7.72
35,7.69
36,7.66
37,7.64
38,7.63
39,7.62
40,7.61
41,7.6
42,7.59
43,7.58
44,7.56
45,7.55
46,7.54
47,7.53
48,7.51
49,7.5
50,7.49
51,7.48
52,7.47
53,7.46
54,7.46
55,7.45
56,7.45
57,7.44
58,7.43
59,7.42
60,7.41
61,7.4
62,7.41
63,7.41
64,7.42
65,7.43
66,7.44
67,7.45
68,7.46
69,7.46
70,7.46
71,7.47
72,7.46
73,7.46
74,7.45
75,7.43
76,7.41
77,7.4
78,7.4
79,7.4
80,7.4
81,7.41
82,7.41
83,7.42
84,7.42
85,7.42
86,7.42
87,7.42
88,7.41
89,7.4
90,7.39
91,7.39
92,7.39
93,7.39
94,7.39
95,7.39
96,7.4
97,7.39
98,7.39
99,7.39
100,7.38
101,7.38
102,7.38
103,7.38
104,7.38
105,7.38
106,7.39
107,7.4
108,7.41
109,7.41
110,7.41
111,7.41
112,7.41
113,7.4
114,7.39
115,7.39
116,7.38
117,7.37
118,7.36
119,7.35
120,7.35
121,7.34
122,7.34
123,7.33
124,7.33
125,7.33
126,7.33
127,7.33
128,7.33
129,7.33
130,7.34
131,7.34
132,7.35
133,7.35
134,7.36
135,7.36
136,7.36
137,7.37
138,7.37
139,7.37
140,7.36
141,7.36
142,7.36
143,7.36
144,7.36
145,7.36
146,7.36
147,7.36
148,7.36
149,7.36
150,7.36
151,7.36
152,7.36
153,7.37
154,7.38
155,7.39
156,7.39
157,7.4
158,7.4
159,7.4
160,7.4
161,7.4
162,7.4
163,7.39
164,7.39
165,7.39
166,7.39
167,7.39
168,7.39
169,7.39
170,7.39
171,7.4
172,7.41
173,7.41
174,7.42
175,7.42
176,7.42
177,7.42
178,7.42
179,7.41
180,7.41
181,7.41
182,7.4
183,7.4
184,7.39
185,7.39
186,7.38
187,7.37
188,7.37
189,7.37
190,7.38
191,7.38
192,7.38
193,7.37
194,7.37
195,7.36
196,7.35
197,7.35
198,7.35
199,7.37
200,7.4
201,7.43
202,7.47
203,7.5
204,7.54
205,7.57
206,7.6
207,7.63
208,7.66
209,7.68
210,7.7
211,7.71
212,7.73
213,7.74
214,7.74
215,7.74
216,7.74
217,7.73
218,7.72
219,7.7
220,7.68
221,7.67
222,7.64
223,7.61
224,7.59
225,7.56
226,7.53
227,7.51
228,7.5
229,7.49
230,7.48
231,7.47
232,7.46
233,7.45
234,7.43
235,7.42
236,7.41
237,7.42
238,7.42
239,7.43
240,7.43
241,7.44
242,7.44
243,7.44
244,7.44
245,7.43
246,7.42
247,7.4
248,7.39
249,7.39
250,7.38
251,7.37
252,7.37
253,7.37
254,7.38
255,7.39
256,7.4
257,7.42
258,7.43
259,7.45
260,7.46
261,7.47
262,7.48
263,7.48
264,7.48
265,7.48
266,7.48
267,7.47
268,7.46
269,7.44
270,7.42
271,7.42
272,7.42
273,7.43
274,7.44
275,7.45
276,7.47
277,7.48
278,7.49
279,7.49
280,7.5
281,7.5
282,7.5
283,7.5
284,7.5
285,7.5
286,7.5
287,7.49
288,7.48
289,7.47
290,7.46
291,7.44
292,7.43
293,7.42
294,7.42
295,7.43
296,7.43
297,7.44
298,7.45
299,7.45
300,7.46
301,7.46
302,7.46
303,7.47
304,7.47
305,7.47
306,7.47
307,7.46
308,7.45
309,7.43
310,7.42
311,7.42
312,7.43
313,7.43
314,7.44
315,7.45
316,7.45
317,7.46
318,7.46
319,7.46
320,7.46
321,7.45
322,7.43
323,7.42
324,7.4
325,7.39
326,7.38
327,7.38
328,7.37
329,7.37
330,7.37
331,7.37
332,7.37
333,7.38
334,7.39
335,7.4
336,7.42
337,7.44
338,7.45
339,7.47
340,7.48
341,7.49
342,7.5
343,7.5
344,7.5
345,7.5
346,7.49
347,7.48
348,7.47
349,7.45
350,7.44
351,7.43
352,7.42
353,7.42
354,7.43
355,7.45
356,7.46
357,7.48
358,7.5
359,7.52
360,7.53
361,7.55
362,7.56
363,7.57
364,7.57
365,7.57
366,7.57
367,7.57
368,7.56
369,7.55
370,7.53
371,7.51
372,7.5
373,7.48
374,7.48
375,7.48
376,7.48
377,7.48
378,7.49
379,7.49
380,7.49
381,7.49
382,7.49
383,7.48
384,7.47
385,7.46
386,7.45
387,7.44
388,7.43
389,7.42
390,7.41
391,7.4
392,7.4
393,7.4
394,7.4
395,7.4
396,7.4
397,7.4
398,7.4
399,7.39
400,7.39
401,7.38
402,7.38
403,7.38
404,7.37
405,7.36
406,7.36
407,7.36
408,7.37
409,7.38
410,7.38
411,7.39
412,7.39
413,7.39
414,7.39
415,7.39
416,7.37
417,7.36
418,7.35
419,7.34
420,7.33
421,7.33
422,7.32
423,7.32
424,7.32
425,7.32
426,7.33
427,7.34
428,7.34
429,7.35
430,7.35
431,7.35
432,7.35
433,7.34
434,7.34
435,7.35
436,7.36
437,7.38
438,7.39
439,7.4
440,7.41
441,7.42
442,7.43
443,7.43
444,7.44
445,7.44
446,7.44
447,7.43
448,7.42
449,7.4
450,7.4
451,7.41
452,7.42
453,7.43
454,7.45
455,7.46
456,7.47
457,7.48
458,7.49
459,7.5
460,7.5
461,7.5
462,7.5
463,7.49
464,7.48
465,7.47
466,7.45
467,7.43
468,7.43
469,7.44
470,7.45
471,7.47
472,7.49
473,7.51
474,7.53
475,7.55
476,7.57
477,7.59
478,7.61
479,7.62
480,7.62
481,7.63
482,7.63
483,7.63
484,7.63
485,7.62
486,7.6
487,7.59
488,7.57
489,7.55
490,7.52
491,7.5
492,7.49
493,7.47
494,7.46
495,7.44
496,7.43
497,7.42
498,7.42
499,7.43
500,7.43
501,7.44
502,7.45
503,7.45
504,7.46
505,7.46
506,7.46
507,7.46
508,7.46
509,7.45
510,7.43
511,7.42
512,7.43
513,7.44
514,7.46
515,7.49
516,7.52
517,7.55
518,7.57
519,7.6
520,7.62
521,7.65
522,7.66
523,7.68
524,7.69
525,7.71
526,7.71
527,7.72
528,7.72
529,7.71
530,7.71
531,7.69
532,7.67
533,7.66
534,7.64
535,7.61
536,7.59
537,7.57
538,7.56
539,7.54
540,7.52
541,7.5
542,7.48
543,7.45
544,7.42
545,7.4
546,7.38
547,7.37
548,7.36
549,7.35
550,7.34
551,7.33
552,7.32
553,7.31
554,7.3
555,7.3
556,7.3
557,7.3
558,7.29
559,7.29
560,7.29
561,7.29
562,7.3
563,7.3
564,7.31
565,7.31
566,7.32
567,7.32
568,7.32
569,7.32
570,7.32
571,7.32
572,7.33
573,7.34
574,7.34
575,7.35
576,7.35
577,7.35
578,7.34
579,7.34
580,7.35
581,7.36
582,7.38
583,7.39
584,7.41
585,7.43
586,7.45
587,7.47
588,7.48
589,7.49
590,7.5
591,7.5
592,7.5
593,7.5
594,7.49
595,7.49
596,7.47
597,7.46
598,7.44
599,7.42
600,7.4
601,7.38
602,7.36
603,7.35
604,7.34
605,7.34
606,7.34
607,7.34
608,7.35
609,7.35
610,7.34
611,7.34
612,7.33
613,7.33
614,7.33
615,7.33
616,7.33
617,7.33
618,7.34
619,7.34
620,7.34
621,7.33
622,7.33
623,7.33
624,7.33
625,7.33
626,7.33
627,7.33
628,7.33
629,7.33
630,7.32
631,7.32
632,7.32
633,7.32
634,7.33
635,7.35
636,7.36
637,7.38
638,7.4
639,7.41
640,7.43
641,7.45
642,7.46
643,7.47
644,7.48
645,7.48
646,7.48
647,7.48
648,7.47
649,7.45
650,7.44
651,7.42
652,7.4
653,7.39
654,7.38
655,7.36
656,7.35
657,7.34
658,7.33
659,7.33
660,7.33
661,7.32
662,7.32
663,7.31
664,7.3
665,7.3
666,7.3
667,7.3
668,7.3
669,7.3
670,7.29
671,7.28
672,7.27
673,7.28
674,7.29
675,7.31
676,7.33
677,7.35
678,7.36
679,7.38
680,7.39
681,7.4
682,7.41
683,7.41
684,7.42
685,7.41
686,7.4
687,7.39
688,7.38
689,7.36
690,7.36
691,7.35
692,7.35
693,7.35
694,7.35
695,7.34
696,7.33
697,7.32
698,7.31
699,7.3
700,7.31
701,7.31
702,7.32
703,7.33
704,7.34
705,7.34
706,7.34
707,7.34
708,7.34
709,7.33
710,7.32
711,7.32
712,7.32
713,7.32
714,7.32
715,7.31
716,7.31
717,7.31
718,7.31
719,7.32
720,7.32
721,7.32
722,7.32
723,7.32
724,7.32
725,7.32
726,7.32
727,7.32
728,7.32
729,7.32
730,7.32
731,7.32
732,7.33
733,7.33
734,7.33
735,7.33
736,7.33
737,7.34
738,7.35
739,7.35
740,7.35
741,7.35
742,7.35
743,7.35
