Iteration,Loss,BPC,Time (ms),MFU
0,10.9135,15.7448,45641.63,-100.0
1,10.9169,15.7497,5428.21,-100.0
2,10.9014,15.7274,5912.55,-100.0
3,10.9163,15.7488,5948.57,-100.0
4,10.8973,15.7215,5958.45,-100.0
5,10.8693,15.6811,5974.2,8.06
6,10.8564,15.6624,5976.48,8.06
7,10.8382,15.6362,5991.28,8.06
8,10.8127,15.5995,6006.72,8.05
9,10.7998,15.5809,6019.02,8.05
10,10.7622,15.5266,6034.06,8.04
11,10.7355,15.4881,6070.67,8.03
12,10.6874,15.4187,6072.39,8.02
13,10.6578,15.376,6105.73,8.0
14,10.61,15.3071,6148.87,7.99
15,10.5655,15.2428,6174.08,7.97
16,10.5327,15.1954,6166.05,7.95
17,10.5261,15.1859,6138.72,7.94
18,10.4502,15.0765,6135.72,7.93
19,10.4719,15.1078,6118.82,7.92
20,10.3933,14.9943,6124.7,7.92
21,10.3891,14.9884,6132.28,7.91
22,10.3799,14.975,6142.86,7.9
23,10.3617,14.9488,6162.67,7.89
24,10.293,14.8497,6178.2,7.88
25,10.257,14.7977,6201.85,7.87
26,10.2743,14.8226,6202.27,7.86
27,10.2642,14.8082,6212.99,7.85
28,10.2165,14.7393,6237.0,7.84
29,10.1909,14.7023,6249.93,7.82
30,10.1898,14.7008,6253.05,7.81
31,10.1115,14.5878,6320.89,7.79
32,10.1659,14.6662,6348.89,7.77
33,10.1582,14.6553,6411.5,7.74
34,10.1159,14.5942,6420.34,7.72
35,10.0206,14.4567,6473.38,7.69
36,10.0302,14.4706,6481.03,7.66
37,10.1043,14.5775,6458.2,7.64
38,10.107,14.5813,6415.05,7.63
39,9.9636,14.3744,6415.63,7.62
40,10.0384,14.4824,6417.36,7.61
41,10.0992,14.57,6412.45,7.6
42,9.9196,14.3109,6422.77,7.59
43,10.001,14.4284,6421.93,7.58
44,9.9533,14.3596,6476.73,7.56
45,9.9865,14.4075,6491.37,7.55
46,9.8798,14.2536,6477.26,7.54
47,9.8927,14.2721,6478.33,7.53
48,9.8281,14.1789,6503.31,7.51
49,9.5819,13.8238,6498.28,7.5
50,9.5974,13.8461,6508.68,7.49
51,9.8042,14.1444,6500.04,7.48
52,9.701,13.9956,6520.64,7.47
53,9.6147,13.8711,6514.44,7.46
54,9.6907,13.9808,6503.15,7.46
55,9.4655,13.6558,6505.08,7.45
56,9.4323,13.608,6524.14,7.45
57,9.6295,13.8924,6544.99,7.44
58,9.7008,13.9953,6559.43,7.43
59,9.6651,13.9437,6581.82,7.42
60,9.5727,13.8104,6550.71,7.41
61,9.4719,13.6651,6543.11,7.4
62,9.3784,13.5302,6476.66,7.41
63,9.4429,13.6232,6438.74,7.41
64,9.625,13.8859,6408.85,7.42
65,9.4032,13.566,6416.68,7.43
66,9.4574,13.6442,6398.09,7.44
67,9.3986,13.5594,6390.52,7.45
68,9.3649,13.5106,6405.9,7.46
69,9.176,13.2382,6419.15,7.46
70,9.3786,13.5305,6418.7,7.46
71,9.2853,13.3958,6427.02,7.47
72,9.3319,13.4631,6470.4,7.46
73,9.162,13.218,6503.92,7.46
74,9.2217,13.304,6556.95,7.45
75,9.0547,13.0632,6607.77,7.43
76,8.9904,12.9704,6618.46,7.41
77,8.9622,12.9297,6598.82,7.4
78,8.9478,12.9089,6528.44,7.4
79,8.9345,12.8898,6517.39,7.4
