Iteration,Loss,BPC,Time (ms),MFU
0,10.9148,15.7468,58715.8,-100.0
1,10.9225,15.7579,4698.06,-100.0
2,10.9131,15.7443,4793.31,-100.0
3,10.9011,15.7269,4803.09,-100.0
4,10.8951,15.7183,4796.46,-100.0
5,10.8748,15.6891,4816.18,4.87
6,10.8552,15.6608,4819.39,4.87
7,10.8268,15.6198,4799.61,4.87
8,10.8088,15.5939,4817.06,4.87
9,10.7822,15.5555,4819.38,4.87
10,10.7756,15.5459,4810.39,4.87
11,10.711,15.4527,4807.88,4.87
12,10.6907,15.4235,4819.4,4.87
13,10.6431,15.3547,4817.61,4.87
14,10.5523,15.2238,4819.32,4.87
15,10.5877,15.2748,4819.69,4.87
16,10.5496,15.2198,4816.96,4.87
17,10.4673,15.1012,4819.74,4.87
18,10.476,15.1137,4818.18,4.87
19,10.4462,15.0707,4818.61,4.87
20,10.3871,14.9855,4819.52,4.87
21,10.3883,14.9871,4819.2,4.87
22,10.3308,14.9042,4817.51,4.87
23,10.3143,14.8804,4818.94,4.86
24,10.3423,14.9208,4819.54,4.86
25,10.2331,14.7633,4816.83,4.86
26,10.2218,14.7469,4820.12,4.86
27,10.2248,14.7513,4818.06,4.86
28,10.2487,14.7858,4818.3,4.86
29,10.1769,14.6821,4819.14,4.86
30,10.2385,14.771,4818.3,4.86
31,10.0859,14.5509,4818.46,4.86
32,10.1208,14.6012,4819.44,4.86
33,10.0123,14.4447,4818.05,4.86
34,10.0617,14.516,4818.13,4.86
35,10.0149,14.4485,4818.4,4.86
36,10.0008,14.4281,4819.18,4.86
37,10.0705,14.5286,4819.25,4.86
38,10.0324,14.4737,4818.21,4.86
39,9.9262,14.3205,4837.83,4.86
40,9.8443,14.2023,4818.53,4.86
41,10.0388,14.483,4825.8,4.86
42,9.958,14.3663,4831.97,4.86
43,9.9199,14.3114,4824.06,4.86
44,9.9118,14.2997,4833.02,4.86
45,9.9358,14.3343,4838.31,4.86
46,9.9884,14.4102,4825.18,4.86
47,9.8004,14.1389,4832.46,4.86
48,9.883,14.2581,4826.41,4.86
49,9.7822,14.1128,4831.17,4.86
50,9.7591,14.0794,4838.83,4.85
51,9.542,13.7662,4838.2,4.85
